Yr,CountyName,CropName,Acres,Volume
2024,ANDERSON      ,SUGARCANE,0,0
2024,ANDERSON      ,VEGETABLES,0,0
2024,ANDERSON      ,VINEYARD,10,8
2024,ANDERSON      ,WHEAT,0,0
1985,ANDREWS       ,ALFALFA,200,350
1985,ANDREWS       ,COTTON,"5,000","2,917"
1985,ANDREWS       ,ORCHARD,110,91
1985,ANDREWS       ,OTHER,240,120
1985,ANDREWS       ,OTHER GRAIN,100,25
1985,ANDREWS       ,PEANUTS,200,217
1985,ANDREWS       ,SORGHUM,500,250
1985,ANDREWS       ,VINEYARD,50,42
1985,ANDREWS       ,WHEAT,500,333
1986,ANDREWS       ,COTTON,"5,800","2,417"
1986,ANDREWS       ,OTHER,600,450
1986,ANDREWS       ,SORGHUM,"1,600",533
1986,ANDREWS       ,WHEAT,"2,000","1,333"
1987,ANDREWS       ,COTTON,"2,400","1,400"
1987,ANDREWS       ,OTHER,"1,800","1,800"
1987,ANDREWS       ,SORGHUM,"1,000",583
1987,ANDREWS       ,WHEAT,"1,800","1,200"
1988,ANDREWS       ,COTTON,"5,000","2,917"
1988,ANDREWS       ,OTHER,"3,000","2,250"
1989,ANDREWS       ,ALFALFA,20,35
1989,ANDREWS       ,COTTON,"3,769","2,199"
1989,ANDREWS       ,FORAGE HAY PASTURE,250,208
1989,ANDREWS       ,ORCHARD,106,88
1989,ANDREWS       ,PEANUTS,274,297
1989,ANDREWS       ,SORGHUM,160,93
1989,ANDREWS       ,VINEYARD,15,13
1990,ANDREWS       ,ALFALFA,20,40
1990,ANDREWS       ,COTTON,"4,700","6,658"
1990,ANDREWS       ,FORAGE HAY PASTURE,250,375
1990,ANDREWS       ,ORCHARD,105,131
1990,ANDREWS       ,PEANUTS,275,458
1990,ANDREWS       ,SORGHUM,200,200
1990,ANDREWS       ,VINEYARD,15,19
1991,ANDREWS       ,ALFALFA,20,40
1991,ANDREWS       ,COTTON,"3,900","5,525"
1991,ANDREWS       ,FORAGE HAY PASTURE,250,375
1991,ANDREWS       ,ORCHARD,105,131
1991,ANDREWS       ,PEANUTS,275,458
1991,ANDREWS       ,SORGHUM,"1,000","1,000"
1991,ANDREWS       ,VINEYARD,15,19
1992,ANDREWS       ,ALFALFA,20,40
1992,ANDREWS       ,COTTON,"1,000","1,500"
1992,ANDREWS       ,FORAGE HAY PASTURE,250,375
1992,ANDREWS       ,ORCHARD,105,139
1992,ANDREWS       ,PEANUTS,250,417
1992,ANDREWS       ,SORGHUM,"6,400","6,400"
1992,ANDREWS       ,VINEYARD,15,19
1993,ANDREWS       ,COTTON,"3,100","6,200"
1993,ANDREWS       ,FORAGE HAY PASTURE,80,120
1993,ANDREWS       ,ORCHARD,120,300
1993,ANDREWS       ,OTHER GRAIN,"2,000","1,333"
1993,ANDREWS       ,PEANUTS,"1,000","2,000"
1993,ANDREWS       ,SORGHUM,500,625
1994,ANDREWS       ,COTTON,"7,300","14,600"
1994,ANDREWS       ,FORAGE HAY PASTURE,80,120
1994,ANDREWS       ,ORCHARD,120,300
1994,ANDREWS       ,OTHER GRAIN,"2,000","1,333"
1994,ANDREWS       ,PEANUTS,"1,000","2,000"
1994,ANDREWS       ,SORGHUM,500,625
1995,ANDREWS       ,COTTON,"7,491","11,237"
1995,ANDREWS       ,FORAGE HAY PASTURE,80,120
1995,ANDREWS       ,ORCHARD,120,260
1995,ANDREWS       ,OTHER GRAIN,"2,000","1,333"
1995,ANDREWS       ,PEANUTS,"1,100","1,833"
1995,ANDREWS       ,SORGHUM,731,731
1996,ANDREWS       ,COTTON,"5,600","7,467"
1996,ANDREWS       ,FORAGE HAY PASTURE,80,120
1996,ANDREWS       ,ORCHARD,120,260
1996,ANDREWS       ,OTHER GRAIN,"2,000","1,333"
1996,ANDREWS       ,PEANUTS,"2,500","3,750"
1996,ANDREWS       ,SORGHUM,731,853
1997,ANDREWS       ,COTTON,"8,200","10,933"
1997,ANDREWS       ,FORAGE HAY PASTURE,80,107
1997,ANDREWS       ,ORCHARD,120,260
1997,ANDREWS       ,PEANUTS,"3,500","5,250"
1998,ANDREWS       ,ALFALFA,500,"1,000"
1998,ANDREWS       ,COTTON,"3,600","6,000"
1998,ANDREWS       ,FORAGE HAY PASTURE,80,133
1998,ANDREWS       ,ORCHARD,120,300
1998,ANDREWS       ,PEANUTS,"3,500","5,833"
1999,ANDREWS       ,ALFALFA,500,"1,000"
1999,ANDREWS       ,COTTON,"1,600","2,400"
1999,ANDREWS       ,FORAGE HAY PASTURE,80,120
1999,ANDREWS       ,ORCHARD,120,260
1999,ANDREWS       ,PEANUTS,"5,000","8,333"
2000,ANDREWS       ,ALFALFA,185,463
2000,ANDREWS       ,COTTON,"6,000","11,000"
2000,ANDREWS       ,FORAGE HAY PASTURE,740,"1,110"
2000,ANDREWS       ,ORCHARD,150,375
2000,ANDREWS       ,OTHER GRAIN,"5,500","3,667"
2000,ANDREWS       ,PEANUTS,"7,200","15,600"
2000,ANDREWS       ,WHEAT,"1,000",667
2001,ANDREWS       ,ALFALFA,185,370
2001,ANDREWS       ,COTTON,"9,000","14,250"
2001,ANDREWS       ,FORAGE HAY PASTURE,740,"1,110"
2001,ANDREWS       ,ORCHARD,150,313
2001,ANDREWS       ,OTHER GRAIN,"5,500","3,667"
2001,ANDREWS       ,PEANUTS,"5,700","9,025"
2001,ANDREWS       ,WHEAT,"1,000",667
2002,ANDREWS       ,ALFALFA,185,370
2002,ANDREWS       ,COTTON,"7,112","11,853"
2002,ANDREWS       ,FORAGE HAY PASTURE,"1,061","1,680"
2002,ANDREWS       ,ORCHARD,150,325
2002,ANDREWS       ,OTHER,5,8
2002,ANDREWS       ,OTHER GRAIN,"5,500","4,125"
2002,ANDREWS       ,PEANUTS,"5,600","8,867"
2002,ANDREWS       ,SORGHUM,94,110
2002,ANDREWS       ,VEGETABLES,268,504
2002,ANDREWS       ,WHEAT,356,267
2003,ANDREWS       ,ALFALFA,27,68
2003,ANDREWS       ,COTTON,"7,797","18,193"
2003,ANDREWS       ,FAILED,359,90
2003,ANDREWS       ,FORAGE HAY PASTURE,263,526
2003,ANDREWS       ,ORCHARD,25,75
2003,ANDREWS       ,OTHER,1,1
2003,ANDREWS       ,OTHER GRAIN,105,123
2003,ANDREWS       ,PEANUTS,"5,155","12,888"
2003,ANDREWS       ,VEGETABLES,10,8
2003,ANDREWS       ,WHEAT,516,602
2004,ANDREWS       ,COTTON,"8,324","10,405"
2004,ANDREWS       ,FORAGE HAY PASTURE,250,313
2004,ANDREWS       ,ORCHARD,25,50
2004,ANDREWS       ,OTHER GRAIN,"2,684","2,237"
2004,ANDREWS       ,PEANUTS,"4,343","9,772"
2004,ANDREWS       ,VEGETABLES,240,240
2004,ANDREWS       ,WHEAT,"5,277","4,398"
2005,ANDREWS       ,COTTON,"6,625","12,698"
2005,ANDREWS       ,FAILED,16,4
2005,ANDREWS       ,FORAGE HAY PASTURE,52,113
2005,ANDREWS       ,ORCHARD,20,38
2005,ANDREWS       ,OTHER GRAIN,"2,215","5,353"
2005,ANDREWS       ,PEANUTS,"5,175","6,469"
2005,ANDREWS       ,SORGHUM,360,540
2005,ANDREWS       ,VEGETABLES,19,21
2005,ANDREWS       ,WHEAT,"2,306","5,573"
2006,ANDREWS       ,COTTON,"10,460","15,690"
2006,ANDREWS       ,FORAGE HAY PASTURE,158,356
2006,ANDREWS       ,ORCHARD,20,53
2006,ANDREWS       ,OTHER GRAIN,"2,016","3,024"
2006,ANDREWS       ,PEANUTS,"2,170","2,170"
2006,ANDREWS       ,VEGETABLES,20,25
2006,ANDREWS       ,WHEAT,"6,094","9,141"
2007,ANDREWS       ,COTTON,"9,819","13,910"
2007,ANDREWS       ,FAILED,269,67
2007,ANDREWS       ,FORAGE HAY PASTURE,86,100
2007,ANDREWS       ,ORCHARD,20,32
2007,ANDREWS       ,OTHER GRAIN,"2,251","3,752"
2007,ANDREWS       ,PEANUTS,"3,501","4,085"
2007,ANDREWS       ,SORGHUM,420,560
2007,ANDREWS       ,VEGETABLES,60,20
2007,ANDREWS       ,WHEAT,"8,188","15,694"
2008,ANDREWS       ,CORN,360,720
2008,ANDREWS       ,COTTON,"6,011","11,521"
2008,ANDREWS       ,FAILED,"3,002","1,001"
2008,ANDREWS       ,FORAGE HAY PASTURE,167,334
2008,ANDREWS       ,ORCHARD,12,30
2008,ANDREWS       ,OTHER GRAIN,"1,896","3,792"
2008,ANDREWS       ,PEANUTS,"4,240","4,240"
2008,ANDREWS       ,SORGHUM,"1,485","2,104"
2008,ANDREWS       ,VEGETABLES,60,25
2008,ANDREWS       ,WHEAT,"3,155","6,310"
2009,ANDREWS       ,ALFALFA,45,105
2009,ANDREWS       ,COTTON,"7,951","9,939"
2009,ANDREWS       ,FAILED,"1,987",662
2009,ANDREWS       ,FORAGE HAY PASTURE,"2,649","2,649"
2009,ANDREWS       ,ORCHARD,12,24
2009,ANDREWS       ,OTHER,28,19
2009,ANDREWS       ,OTHER GRAIN,"3,024","1,260"
2009,ANDREWS       ,PEANUTS,"3,233","5,388"
2009,ANDREWS       ,SORGHUM,747,747
2009,ANDREWS       ,SOY OIL,214,428
2009,ANDREWS       ,VEGETABLES,369,677
2009,ANDREWS       ,WHEAT,"5,420","2,258"
2010,ANDREWS       ,COTTON,"10,886","13,607"
2010,ANDREWS       ,FAILED,525,175
2010,ANDREWS       ,FORAGE HAY PASTURE,"2,155","2,155"
2010,ANDREWS       ,ORCHARD,12,24
2010,ANDREWS       ,OTHER GRAIN,"4,760","1,983"
2010,ANDREWS       ,PEANUTS,"1,804","2,255"
2010,ANDREWS       ,VEGETABLES,14,24
2010,ANDREWS       ,WHEAT,"7,516","3,131"
2011,ANDREWS       ,COTTON,"3,940","6,238"
2011,ANDREWS       ,FAILED,"7,810","4,556"
2011,ANDREWS       ,FORAGE HAY PASTURE,"1,000","1,333"
2011,ANDREWS       ,ORCHARD,20,57
2011,ANDREWS       ,OTHER GRAIN,680,793
2011,ANDREWS       ,PEANUTS,"2,260","3,390"
2011,ANDREWS       ,WHEAT,"4,790","5,588"
2012,ANDREWS       ,CORN,70,152
2012,ANDREWS       ,COTTON,"7,500","11,250"
2012,ANDREWS       ,FAILED,"2,020",842
2012,ANDREWS       ,FORAGE HAY PASTURE,800,933
2012,ANDREWS       ,ORCHARD,30,80
2012,ANDREWS       ,OTHER GRAIN,"5,200","4,767"
2012,ANDREWS       ,PEANUTS,"2,000","3,500"
2012,ANDREWS       ,SORGHUM,500,500
2012,ANDREWS       ,VEGETABLES,80,153
2012,ANDREWS       ,WHEAT,"3,000","1,500"
2013,ANDREWS       ,COTTON,"6,250","7,813"
2013,ANDREWS       ,FAILED,"1,270",529
2013,ANDREWS       ,FORAGE HAY PASTURE,800,800
2013,ANDREWS       ,ORCHARD,30,70
2013,ANDREWS       ,OTHER GRAIN,"3,200","2,400"
2013,ANDREWS       ,PEANUTS,"1,850","2,775"
2013,ANDREWS       ,SORGHUM,500,500
2013,ANDREWS       ,SOY OIL,150,188
2013,ANDREWS       ,WHEAT,"4,430","3,323"
2014,ANDREWS       ,ALFALFA,40,83
2014,ANDREWS       ,CORN,"1,140","1,805"
2014,ANDREWS       ,COTTON,"4,000","4,667"
2014,ANDREWS       ,FAILED,"4,130","1,377"
2014,ANDREWS       ,FORAGE HAY PASTURE,600,550
2014,ANDREWS       ,ORCHARD,30,63
2014,ANDREWS       ,OTHER GRAIN,"2,500","1,667"
2014,ANDREWS       ,PEANUTS,"1,850","2,467"
2014,ANDREWS       ,SORGHUM,420,175
2014,ANDREWS       ,WHEAT,"2,720","1,587"
2015,ANDREWS       ,ALFALFA,50,96
2015,ANDREWS       ,CORN,490,653
2015,ANDREWS       ,COTTON,"6,460","6,998"
2015,ANDREWS       ,FAILED,"1,010",421
2015,ANDREWS       ,FORAGE HAY PASTURE,700,642
2015,ANDREWS       ,ORCHARD,30,60
2015,ANDREWS       ,OTHER GRAIN,"1,700","1,133"
2015,ANDREWS       ,PEANUTS,"1,850","2,158"
2015,ANDREWS       ,SORGHUM,"1,210",807
2015,ANDREWS       ,WHEAT,"2,820","1,645"
2016,ANDREWS       ,ALFALFA,50,96
2016,ANDREWS       ,COTTON,"8,980","10,477"
2016,ANDREWS       ,FAILED,830,346
2016,ANDREWS       ,FORAGE HAY PASTURE,700,642
2016,ANDREWS       ,ORCHARD,30,58
